1279 8.886046388762413 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=8739774, language='Basque_2.12', model=None) [4.04713497588855, 1.3037643722134733, 1.2649257385173038, 1.2649257385173038]
Number[abs]:Plur 0
Number[abs]:Sing 2
Person[erg]:2 4
Person[erg]:1 6
Case:Com 8
Polite[dat]:Infm 10
Case:Par 12
Gender[dat]:Masc 14
Case:Ine 16
Case:Abs 18
Definite:Def 20
Case:Dat 22
Case:Erg 24
Case:Cau 26
Case:Gen 28
Case:Ins 30
Number:Sing 32
Definite:Ind 34
Polite[abs]:Infm 36
Number:Plur 38
Person[erg]:3 40
Case:Abl 42
Number[erg]:Plur 44
Number[erg]:Sing 46
Aspect:Prog 48
Mood:Cnd 50
Polarity:Pos 52
Gender:Masc 54
Gender:Fem 56
Gender[erg]:Masc 58
Mood:Pot 60
Case:All 62
Polite[erg]:Infm 64
Person[dat]:2 66
Gender[erg]:Fem 68
Case:Loc 70
Polite:Infm 72
Voice:Cau 74
Mood:Ind 76
Person[dat]:1 78
Mood:Sub 80
Person[dat]:3 82
Number[dat]:Plur 84
Person[abs]:1 86
Number[dat]:Sing 88
Mood:Imp 90
Person[abs]:3 92
Person[abs]:2 94
VerbForm:Fin 96
