679 8.45821597448884 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=6689578, language='Belarusian_2.12', model=None) [4.0794821636387475, 1.263689111262831, 1.2205212529966527, 1.2205212529966527]
Voice:Act 0
Voice:Mid 2
Voice:Pass 4
Aspect:Perf 6
Aspect:Imp 8
Typo:Yes 10
Tense:Pres 12
Tense:Fut 14
Tense:Past 16
Gender:Fem 18
Gender:Neut 20
Person:2 22
Abbr:Yes 24
Person:1 26
Mood:Imp 28
Gender:Masc 30
Person:3 32
Number:Sing 34
Number:Plur 36
Polarity:Neg 38
Animacy:Inan 40
Case:Nom 42
VerbForm:Conv 44
Case:Acc 46
Degree:Pos 48
Mood:Ind 50
Animacy:Anim 52
VerbForm:Fin 54
