599 20.817263572939687 Namespace(POS='NOUN', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=1553566, language='Hungarian-Szeged_2.8', model=None) [4.789362766166387, 3.001294319263618, 2.998079253801462, 2.998079253801462]
Number:Sing 0
Number[psed]:Sing 2
Number:Plur 4
Case:Ess 6
Case:Sub 8
Case:Dis 10
Case:Acc 12
Case:Ins 14
Case:Abs 16
Case:Ter 18
Case:Del 20
Case:Tra 22
Case:Sup 24
Case:Gen 26
Case:Ela 28
Case:Loc 30
Case:Dat 32
Case:Ade 34
Case:Ine 36
Case:All 38
Case:Nom 40
Number[psor]:Plur 42
Case:Tem 44
Case:Abl 46
Case:Cau 48
Case:Ill 50
Number[psor]:Sing 52
Person[psor]:3 54
Person[psor]:1 56
