799 8.489611529015072 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=81578, language='Latvian_2.12', model=None) [3.979068471008367, 1.2341795594884326, 1.2247442747682977, 1.2247442747682977]
Reflex:Yes 0
VerbForm:Fin 2
Voice:Act 4
Evident:Fh 6
Mood:Ind 8
Mood:Qot 10
Typo:Yes 12
Number:Plur 14
Evident:Nfh 16
Abbr:Yes 18
Number:Sing 20
Person:3 22
Person:2 24
Mood:Nec 26
Case:Nom 28
Person:1 30
Gender:Masc 32
Tense:Fut 34
Mood:Cnd 36
Gender:Fem 38
VerbForm:Conv 40
Mood:Imp 42
Tense:Pres 44
Tense:Past 46
Polarity:Neg 48
Polarity:Pos 50
