979 9.807692543842311 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=1187656, language='Old_East_Slavic_2.12', model=None) [3.990623667667841, 1.4013188068015747, 1.4013188068015747, 1.4013188068015747]
Polarity:Neg 0
Voice:Act 2
Voice:Pass 4
Gender:Masc 6
VerbForm:Conv 8
Reflex:Yes 10
Voice:Mid 12
VerbForm:Fin 14
Number:Dual 16
Case:Nom 18
Number:Sing 20
Number:Plur 22
Person:2 24
Case:Acc 26
Person:1 28
Person:3 30
Mood:Ind 32
Aspect:Perf 34
Analyt:Yes 36
VerbForm:Sup 38
Mood:Cnd 40
Aspect:Imp 42
Mood:Imp 44
Tense:Imp 46
Tense:Past 48
Tense:Fut 50
Tense:Pres 52
