459 8.063282272858388 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=460825, language='Turkish-Penn_2.8', model=None) [3.874371770215257, 1.156716512127158, 1.1488392126417697, 1.1488392126417697]
Voice:Cau 0
VerbForm:Conv 2
Voice:Rfl 4
Voice:Pass 6
Polarity:Pos 8
Voice:Rcp 10
Polarity:Neg 12
Mood:Imp 14
Person:2 16
Mood:Opt 18
Mood:Des 20
Person:3 22
Person:1 24
Person[psor]:1 26
VerbForm:Vnoun 28
Voice:CauPass 30
Number[psor]:Plur 32
VerbForm:Fin 34
Mood:Ind 36
Tense:Fut 38
Mood:Cnd 40
Aspect:Prog 42
Tense:Past 44
Aspect:Hab 46
Person[psor]:3 48
Person[psor]:2 50
Number[psor]:Sing 52
Tense:Pres 54
Aspect:Perf 56
Number:Plur 58
Number:Sing 60
Mood:Nec 62
