2079 7.155223088498552 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=2672510, language='Western_Armenian_2.12', model=None) [3.9939858066514784, 1.0684890134547465, 1.0684890134547465, 1.0684890134547465]
Voice:Pass 0
Style:Arch 2
Reflex:Yes 4
Aspect:Iter,Prosp 6
Aspect:Iter,Perf 8
Style:Rare 10
Aspect:Iter 12
Voice:Rcp 14
Voice:Mid 16
Style:Coll 18
Voice:Act 20
Subcat:Intr 22
Voice:Cau 24
Subcat:Tran 26
Style:Expr 28
Number[psor]:Sing 30
Number[psor]:Plur 32
Number:Sing 34
Polite:Form 36
Number:Plur 38
Person:3 40
Person:2 42
Person:1 44
VerbForm:Fin 46
Tense:Pres 48
Definite:Ind 50
Tense:Imp 52
Mood:Cnd 54
Case:Ins 56
Tense:Past 58
LangId:Hy 60
Mood:Sub 62
Style:Vrnc 64
Aspect:Prosp 66
Aspect:Perf 68
Aspect:Imp 70
Mood:Ind 72
Polarity:Neg 74
Typo:Yes 76
Mood:Imp 78
Polarity:Pos 80
